gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,179.77746239080486,179.81443876704014,179.81445018135963,179.81356728681786,179.8144440214345
0.0002,179.74048601456957,179.8144047978701,179.81444979785311,179.81096729763092,179.8144010793253
0.0005,179.6296246047023,179.8141745039581,179.81444332756564,179.79356342588108,179.81370801810812
0.001,179.44507470544647,179.813402984972,179.81439424761282,179.73634218555588,179.80884712533015
0.002,179.07674642592096,179.81071378317466,179.81399451887427,179.53966948148283,179.7746591715074
0.005,177.97691068166552,179.79963090980507,179.80743373161573,178.58816260926508,179.38541868429496
0.01,176.15419045352596,179.80555656731138,179.7697290980882,176.31747118183398,179.9245881622928
0.02,172.50282433974053,179.99731023249691,179.70100970485197,172.81473368962477,177.1706587964926
0.03,168.7926189593188,180.3053081442763,179.85730640171636,169.43656634640078,173.9763404569672
0.05,161.16373868275312,180.6457367676685,180.65176503137815,162.58675643545314,168.37567025645964
0.1,141.68174059783775,179.19002215961433,181.67935331531055,143.57264188764626,156.214909841691
