gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-62.93070875832371,-62.942782759477375,-62.94278631862505,-62.942684027327296,-62.9427860732663
0.0002,-62.91863475716903,-62.94277208413954,-62.94278631562585,-62.94237910697043,-62.94278435967309
0.0005,-62.88243410262375,-62.94269742053378,-62.94278625687605,-62.94027744526836,-62.942756020301324
0.001,-62.82217078471371,-62.94243128916782,-62.942785701698426,-62.932986243326255,-62.94254813082882
0.002,-62.701910280259604,-62.941372171658976,-62.94277953073802,-62.90538288204639,-62.940947580849375
0.005,-62.343243013363804,-62.934126821090594,-62.94260277788396,-62.738717775514345,-62.91710513513041
0.01,-61.75235920563613,-62.910070851474806,-62.94053430567257,-62.28060186158706,-62.77471219610404
0.02,-60.594647559797735,-62.83360310426593,-62.919093995273386,-61.09377531593386,-63.385979390452924
0.03,-59.46448342618907,-62.749524192752624,-62.86584125129505,-60.143170972416044,-63.061658946596005
0.05,-57.26233705507957,-67.27649559356593,-48.784108837760584,-58.36967085087908,-61.61360279521647
0.1,-47.24817851658145,-56.381771544879825,-55.84958716312899,-54.26220763278456,-57.779681332436525
