gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-19.602054344034606,-19.601198429567127,-19.6011982430838,-19.60120024679013,-19.601198244755867
0.0002,-19.602910258502085,-19.601198989254875,-19.60119824277499,-19.601206244745924,-19.601198256194813
0.0005,-19.60547688236739,-19.601202912602652,-19.601198238023272,-19.60124800960969,-19.601198446416838
0.001,-19.60975085213213,-19.601216961926557,-19.601198202253848,-19.601395701683117,-19.60119985614786
0.002,-19.618284742337703,-19.60127344573984,-19.60119791540793,-19.601975470737415,-19.601210936204897
0.005,-19.64377328128462,-19.601674418172298,-19.601193103046626,-19.605831515706132,-19.601387017889348
0.01,-19.685872144396946,-19.60314405841229,-19.601157174818937,-19.618379170273506,-19.602589826055407
0.02,-19.768600230381065,-19.609305324419093,-19.600879453989542,-19.66087225949403,-19.61067363680688
0.03,-19.849300917162967,-19.620129835551676,-19.600191210204976,-19.71917721800597,-19.628526163830625
0.05,-20.004308293623257,-19.657059203735667,-19.597566282352084,-19.861563632298775,-19.69490991679502
0.1,-20.351557383509448,-19.675792384526478,-20.087556701580326,-20.648279419840325,-17.057928759594272
