gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-110.05979934575394,-110.07924874944327,-110.07925894390388,-110.07900000204336,-110.07925797349927
0.0002,-110.04034994206462,-110.07921823351123,-110.07925884937367,-110.07823093733779,-110.07925112940718
0.0005,-109.98206270873122,-110.07900647101425,-110.07925725027394,-110.07297732086734,-110.07913864940194
0.001,-109.88511894644819,-110.07826280965403,-110.07924504866884,-110.05505251227557,-110.07832310248838
0.002,-109.69197508324234,-110.07538769372961,-110.07914404029964,-109.98926907579455,-110.07219321646711
0.005,-109.11823516946811,-110.05730359395758,-110.0773418479568,-109.6220276201347,-109.98759759092248
0.01,-108.17916674497828,-110.00704907610398,-110.06359722800931,-108.5644451824603,-109.55429590904468
0.02,-106.35128441385206,-109.90463780310098,-109.97687837726284,-107.09738831675514,-110.14866552849641
0.03,-104.56557764745907,-109.87069425395273,-109.84998261711871,-105.67587157654819,-109.1075121464325
0.05,-101.03245368085312,-113.809153743121,-121.20316854921114,-102.90386047659324,-106.69280427190236
0.1,-88.25575361857514,-101.5433361510738,-112.27675692844392,-95.61865638861438,-101.01981989881584
