gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-65.50957681166632,-65.52818043619041,-65.52818108615264,-65.52800323555581,-65.52818061249226
0.0002,-65.49097318714223,-65.52817848859303,-65.52818108293704,-65.52747345448665,-65.52817730836445
0.0005,-65.43516620692006,-65.5281649183439,-65.52818102857523,-65.5238282230436,-65.52812273782395
0.001,-65.34216749549621,-65.52811688157348,-65.5281806156288,-65.51122333533189,-65.52772341189235
0.002,-65.15621810941894,-65.52792809380882,-65.52817721154756,-65.46380267447259,-65.52466430178453
0.005,-64.59874555325246,-65.52667583340556,-65.52811549137235,-65.18216948419591,-65.4797998582395
0.01,-63.67081527309873,-65.52271985364827,-65.52759453327499,-64.42699630538394,-65.22014958878307
0.02,-61.818910692549416,-65.51135334374766,-65.52299722408566,-61.68718421181124,-65.55065261552426
0.03,-59.97123388190885,-65.50142377153334,-65.51224656466164,-59.76771057105072,-64.39184292124858
0.05,-56.28339087661407,-65.49434114310463,-65.49603028356196,-56.01345934930637,-61.09515451008986
0.1,-47.07244061012333,-65.40671191437193,-65.58966103641971,-46.889569300843704,-52.2411588370362
