gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,33.13655879881124,33.13722599825578,33.13722669604739,33.137223855632335,33.13722669287851
0.0002,33.135891599366694,33.13722390672831,33.13722669343768,33.13721536155621,33.13722666810418
0.0005,33.13389418259743,33.13720931691381,33.13722664951071,33.13715638081515,33.137226256451285
0.001,33.13057904828105,33.137157556241554,33.1372263165037,33.13694890889099,33.1372232084157
0.002,33.124000540320544,33.13695321605554,33.1372235834062,33.13614274837601,33.13719929670728
0.005,33.104672116027416,33.13557799913992,33.13717472699501,33.13093369821589,33.13682181249605
0.01,33.073766232915496,33.131070430292105,33.1367705505841,33.11492380150449,33.13428546297813
0.02,33.016462035537145,33.116539645570114,33.13308130731512,33.06673492070872,33.118049026025524
0.03,32.96435552280192,33.100373684209664,33.12234757224614,33.01090713834169,33.08515440076566
0.05,32.87142514285649,33.08928002768374,33.07090390962834,34.603916670403095,32.9855466326441
0.1,32.653570258029234,33.31885766714278,32.903723274822156,34.68895324133736,36.58400482929305
