gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-4.742599100166793,-4.743059857579259,-4.74305987064831,-4.743059600104932,-4.743059870598855
0.0002,-4.742138342754055,-4.743059818379513,-4.743059870648075,-4.7430587888840865,-4.743059870237347
0.0005,-4.740756148914055,-4.743059544046126,-4.7430598705829805,-4.743053117331369,-4.743059864218029
0.001,-4.738452753781983,-4.743058564797111,-4.74305987008321,-4.74303290868282,-4.743059819298215
0.002,-4.7338469427668555,-4.743054651767461,-4.743059866114448,-4.742952431413939,-4.7430594613204935
0.005,-4.720037333512064,-4.743027338005394,-4.7430597992160735,-4.742395946833915,-4.743053544060492
0.01,-4.697047329018589,-4.742930316145015,-4.743059290889269,-4.740453472179039,-4.743010167121578
0.02,-4.651164341891751,-4.742546362426328,-4.743055104032679,-4.733011743781895,-4.742676403208941
0.03,-4.605409738922972,-4.741915366367273,-4.743043368205537,-4.721253232420208,-4.741811755213315
0.05,-4.514280863044538,-4.739943467035124,-4.742979896345673,-4.686579537821567,-4.73768534968539
0.1,-4.28861825905326,-4.731267651104744,-4.742361661157856,-4.551115843354912,-4.7071431999628315
