gamma,noisy,first_order,second_order,f_RE,s_RE
0.0001,-64.726453951925,-64.72352233834714,-64.72352168293074,-64.72354447503463,-64.72352174545252
0.0002,-64.72938556550253,-64.72352431276308,-64.7235216714954,-64.72361236323955,-64.72352216906768
0.0005,-64.73817645087767,-64.72353835483507,-64.72352148204448,-64.72407952445597,-64.72352913560299
0.001,-64.75281454692013,-64.72358997204861,-64.72352008923409,-64.72569572915748,-64.72357973941348
0.002,-64.78203912178996,-64.72380737696095,-64.72350931778618,-64.73178772384446,-64.72396228028278
0.005,-64.8692719840621,-64.72552729157859,-64.72334653577047,-64.76831926526057,-64.72940725951304
0.01,-65.01301667654491,-64.73281813714003,-64.72234734161859,-64.86866227607626,-64.76003786128871
0.02,-65.29321521595044,-64.76831965010066,-64.71725896116811,-65.13352114350343,-64.9056900505433
0.03,-65.56204558499095,-64.83515624615337,-64.71050430384636,-65.68298521459472,-61.80569373290352
0.05,-66.0605557424886,-65.0392248220795,-64.77023124663017,-66.18850032867815,-61.225589490077084
0.1,-67.0818866628977,-65.93712512282713,-64.83413499540328,-66.965224767052,-61.385591655940694
